STATES,COAL_ROUNDED,OIL_ROUNDED,NATURAL_GAS_ROUNDED,NUCLEAR_ROUNDED,HYDRO_ROUNDED,WIND_ROUNDED,SOLAR_ROUNDED,OTHER
CT,1,0,45,50,1,0,1,3
ME,1,0,9,0,32,27,0,31
MA,0,0,67,20,3,1,9,0
NH,7,0,2,67,9,4,1,10
RI,0,0,90,0,0,4,0,6
VT,0,0,0,0,53,20,9,18
NJ,1,0,46,49,0,0,3,0
NY,0,0,32,36,25,5,1,1
PA,21,0,32,41,1,2,0,1
IL,34,0,4,54,0,8,0,0
IN,67,0,22,0,0,7,0,3
MI,36,0,22,30,2,5,0,5
OH,52,0,30,15,0,2,0,2
WI,49,0,24,15,5,4,0,3
IA,43,0,8,8,2,38,0,1
KS,39,0,4,19,0,37,0,0
MN,37,0,11,23,2,20,2,3
MO,76,0,6,12,2,4,0,0
NE,61,0,1,18,6,15,0,0
ND,65,0,2,0,6,27,0,0
SD,25,0,0,0,46,25,0,3
DE,1,0,93,0,0,0,3,3
DC,0,0,25,0,0,0,50,25
FL,11,0,68,15,0,0,1,5
GA,17,0,47,26,3,0,0,6
MD,21,0,28,36,9,2,3,1
NC,15,0,35,37,5,1,5,3
SC,16,0,14,63,4,0,1,3
VA,6,0,56,32,2,0,1,4
WV,93,0,1,0,3,3,0,0
AL,24,0,36,29,9,0,0,3
KY,74,0,19,0,6,0,0,1
MS,5,0,78,14,0,0,0,2
TN,25,0,11,52,11,0,0,1
AR,35,0,30,25,7,0,0,2
LA,11,0,61,16,1,0,0,11
OK,19,0,40,0,4,37,0,0
TX,21,0,48,10,0,18,1,1
AZ,32,0,19,35,8,1,6,0
CO,46,0,29,0,5,18,2,0
ID,0,0,9,0,67,18,2,4
MT,47,0,1,0,42,7,0,3
NV,3,0,68,0,6,1,11,11
NM,29,0,36,0,0,29,5,1
UT,70,0,18,0,3,2,6,1
WY,83,0,2,0,3,11,0,1
CA,0,0,48,8,9,9,18,8
OR,0,0,15,0,68,14,1,2
WA,1,0,5,7,78,8,0,2
AK,10,14,37,0,36,3,0,1
HI,15,66,0,0,1,7,11,0
