Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,ORG_PT023_001,ORG_PT023_002,ORG_PT023_003,ORG_PT023_004,ORG_PT023_005,ORG_PT023_006,ORG_PT023_007,ORG_PT023_008,ORG_PT023_009,ORG_PT023_010,ORG_PT023_011,ORG_PT023_012,ORG_PT023_013,ORG_PT023_014,ORG_PT023_015,ORG_PT023_016,ORG_PT023_017,ORG_PT023_018,ORG_PT023_019,ORG_PT023_020,ORG_PT023_021,ORG_PT023_022,ORG_PT023_023,ORG_PT023_024,ORG_PT023_025,ORG_PT023_026,ORG_PT023_027,ORG_PT023_028,ORG_PT023_029
"36005000100","Census Tract 1","Census Tract 1, Bronx County, New York","00","36","005","000100",5555,5443,3265,59,0,26,16,9,0,0,88,1162,0,79,739,112,0,19,0,0,0,0,0,0,9,75,0,9,0
"36005000200","Census Tract 2","Census Tract 2, Bronx County, New York","00","36","005","000200",2737,2443,1536,7,9,29,0,0,0,7,152,549,0,32,122,294,161,15,6,18,0,0,0,0,59,27,0,8,0
"36005000400","Census Tract 4","Census Tract 4, Bronx County, New York","00","36","005","000400",2690.357,2446.757,1061.629,2.661135,4,10.54818,0,0,0,0,80.10466,1038.22,0,66.29738,183.2974,243.5999,66.69942,0,0,2.661135,0,0,4,0,47,57.83727,0,50.7409,14.66114
"36005001600","Census Tract 16","Census Tract 16, Bronx County, New York","00","36","005","001600",1348,1276,372,8,7,7,0,0,0,0,124,613,0,16,129,72,6,0,0,8,0,0,0,0,36,14,0,0,8
"36005001900","Census Tract 19","Census Tract 19, Bronx County, New York","00","36","005","001900",3325,2947,584,0,0,5,0,0,0,0,29,2253,0,0,76,378,76,0,0,0,0,0,0,0,7,267,0,28,0
"36005002000","Census Tract 20","Census Tract 20, Bronx County, New York","00","36","005","002000",10067.69,9250.35,4684.896,5.922751,0,31.58801,5.922751,14.80688,0,41.45926,153.9915,2673.135,0,90.81551,1547.812,817.3396,242.8328,0,0,27.6395,7.897001,37.51075,5.922751,66.13738,152.0173,202.3607,0,51.33051,23.691
"36005002300","Census Tract 23","Census Tract 23, Bronx County, New York","00","36","005","002300",5442.333,4964.392,2258.249,24.4135,0,16.90166,26.29146,0,0,11.26777,0,2216.934,0,15.02369,395.3109,477.9413,165.2606,0,0,17.84064,0,0,7.511847,15.02369,45.07108,183.1013,0,33.80331,10.32879
"36005002400","Census Tract 24","Census Tract 24, Bronx County, New York","00","36","005","002400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36005002500","Census Tract 25","Census Tract 25, Bronx County, New York","00","36","005","002500",7097,6805,1574,0,0,0,0,0,0,0,0,4770,0,27,434,292,38,0,0,0,0,0,0,23,0,178,0,53,0
"36005002701","Census Tract 27.01","Census Tract 27.01, Bronx County, New York","00","36","005","002701",5609,5392,1209,16,8,10,0,0,0,0,4,3605,0,31,509,217,75,0,11,0,0,0,0,0,0,103,0,23,5
"36005002702","Census Tract 27.02","Census Tract 27.02, Bronx County, New York","00","36","005","002702",8186,8039,1720,7,0,11,0,13,0,0,16,5582,0,12,678,147,28,0,0,22,0,0,0,15,5,61,6,5,5
"36005002800","Census Tract 28","Census Tract 28, Bronx County, New York","00","36","005","002800",4692,4246,2829,40,0,12,30,0,7,73,59,964,0,107,125,446,145,8,0,7,22,0,25,46,7,108,0,71,7
"36005003100","Census Tract 31","Census Tract 31, Bronx County, New York","00","36","005","003100",2533,2154,483,0,0,0,0,0,0,0,0,1539,0,0,132,379,34,0,0,11,0,0,0,0,0,324,0,10,0
"36005003300","Census Tract 33","Census Tract 33, Bronx County, New York","00","36","005","003300",7951,7420,2336,8,0,8,0,0,0,0,6,4547,0,0,515,531,142,58,11,38,8,0,0,13,10,212,4,35,0
"36005003500","Census Tract 35","Census Tract 35, Bronx County, New York","00","36","005","003500",4603,4334,1568,0,0,28,5,0,0,0,25,2472,13,29,194,269,55,0,0,8,6,11,0,45,11,93,5,35,0
"36005003700","Census Tract 37","Census Tract 37, Bronx County, New York","00","36","005","003700",311,250,192,0,0,0,0,0,0,0,0,51,0,0,7,61,10,0,0,0,0,0,0,0,7,7,0,37,0
"36005003800","Census Tract 38","Census Tract 38, Bronx County, New York","00","36","005","003800",1027.311,959.6502,301.104,0.07724911,0,0.4119952,0.07724911,0.1931228,0,0.5407438,15.00848,253.8651,0,1.184486,387.1878,67.66038,26.16721,0,0,0.3604958,0.1029988,0.4892443,0.07724911,0.862615,21.98273,8.639344,0,0.6694922,8.308996
"36005003900","Census Tract 39","Census Tract 39, Bronx County, New York","00","36","005","003900",12004,11422,5093,10,0,55,0,0,0,0,23,5510,0,25,706,582,146,0,0,53,11,0,0,0,0,341,0,18,13
"36005004001","Census Tract 40.01","Census Tract 40.01, Bronx County, New York","00","36","005","004001",1442,1231,644,0,0,22,42,11,0,46,241,131,0,37,57,211,16,0,0,22,0,0,0,11,90,10,0,62,0
"36005004100","Census Tract 41","Census Tract 41, Bronx County, New York","00","36","005","004100",5963,5740,1848,11,0,27,0,0,0,6,0,3221,0,15,612,223,34,0,0,14,7,6,6,32,0,104,0,14,6
"36005004200","Census Tract 42","Census Tract 42, Bronx County, New York","00","36","005","004200",8667.905,7919.351,4483.206,13.03151,0,93.17017,54,14,15,291.2143,321.3971,2082.321,0,117.0882,434.9223,748.5546,136.2269,0,0,40.05042,25,14,20,165,83.17017,151,0,101.1071,13
"36005004300","Census Tract 43","Census Tract 43, Bronx County, New York","00","36","005","004300",8222,7742,1638,25,0,43,0,0,0,0,15,5300,0,15,706,480,62,0,0,43,0,0,21,0,41,263,10,28,12
"36005004400","Census Tract 44","Census Tract 44, Bronx County, New York","00","36","005","004400",5497,5033,2197,26,0,32,18,0,10,70,197,1740,0,16,727,464,39,0,0,8,5,22,0,173,81,51,0,77,8
"36005004600","Census Tract 46","Census Tract 46, Bronx County, New York","00","36","005","004600",1877.095,1789.649,820.7941,4.968487,0,26.82983,0,0,0,33.78571,62.60294,523.6786,0,13.91177,303.0777,87.44538,35.77311,0,0,7.94958,0,0,0,0,26.82983,0,0,16.89286,0
"36005004800","Census Tract 48","Census Tract 48, Bronx County, New York","00","36","005","004800",3945,3228,867,27,0,27,6,8,0,66,71,1982,17,44,113,717,84,6,0,13,0,18,0,78,96,365,8,33,16
"36005005001","Census Tract 50.01","Census Tract 50.01, Bronx County, New York","00","36","005","005001",4543.092,3775.252,1012.297,24.9446,0,39.00428,11.79199,6.349535,5.442458,157.3777,40.36489,2279.029,0,30.8406,167.8091,767.8401,119.2805,3.628305,0,40.36489,15.87384,18.59506,25.85168,122.4553,50.79628,317.4767,0,46.26089,7.256611
"36005005002","Census Tract 50.02","Census Tract 50.02, Bronx County, New York","00","36","005","005002",5473.908,4548.748,1219.703,30.0554,0,46.99572,14.20801,7.650465,6.557542,189.6223,48.63511,2745.971,0,37.1594,202.1909,925.1599,143.7195,4.371695,0,48.63511,19.12616,22.40494,31.14832,147.5447,61.20372,382.5233,0,55.73911,8.743389
"36005005100","Census Tract 51","Census Tract 51, Bronx County, New York","00","36","005","005100",8709.282,8559.142,3807.996,9.592475,0.002988466,13.10176,1.708536,0,0,5.73223,0.005976933,4190.27,5,33.98783,491.7445,150.1403,66.77822,0,0,8.159364,0,0,0.4881532,7.976306,2.940873,44.92691,0,18.19669,0.6737722
"36005005200","Census Tract 52","Census Tract 52, Bronx County, New York","00","36","005","005200",1773,1521,406,20,0,7,0,0,0,35,19,909,0,6,119,252,87,7,0,24,6,6,0,32,23,47,0,8,12
"36005005300","Census Tract 53","Census Tract 53, Bronx County, New York","00","36","005","005300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36005005400","Census Tract 54","Census Tract 54, Bronx County, New York","00","36","005","005400",5963,4925,1146,19,0,47,20,7,0,70,178,3078,0,88,272,1038,314,6,0,32,0,7,0,57,163,394,0,58,7
"36005005600","Census Tract 56","Census Tract 56, Bronx County, New York","00","36","005","005600",2663,2082,571,0,0,0,0,0,0,63,71,1263,0,0,114,581,51,0,0,93,14,37,22,117,40,186,0,21,0
"36005005902","Census Tract 59.02","Census Tract 59.02, Bronx County, New York","00","36","005","005902",2426,2019,1100,21,0,39,8,17,12,342,118,189,0,51,122,407,49,10,0,47,19,40,14,104,6,25,6,74,13
"36005006000","Census Tract 60","Census Tract 60, Bronx County, New York","00","36","005","006000",915,790,312,0,0,12,0,0,0,12,47,326,0,52,29,125,6,0,0,18,0,0,0,11,34,17,0,39,0
"36005006100","Census Tract 61","Census Tract 61, Bronx County, New York","00","36","005","006100",4277,3279,2154,30,0,73,12,7,13,265,70,434,0,63,158,998,309,31,0,96,36,7,27,254,17,82,0,130,9
"36005006200","Census Tract 62","Census Tract 62, Bronx County, New York","00","36","005","006200",8222,7472,3908,19,0,36,0,0,7,46,80,2910,0,77,389,750,221,13,0,27,31,77,23,129,19,113,0,90,7
"36005006300","Census Tract 63","Census Tract 63, Bronx County, New York","00","36","005","006300",4964.623,3860.601,1668.064,44.92828,6.964139,75.95901,6,0,33,623,47.92828,935.5614,0,69.86168,349.334,1104.021,139.5338,0,7,89,27,44,14,391,34.85656,121.6619,0,216,19.96926
"36005006400","Census Tract 64","Census Tract 64, Bronx County, New York","00","36","005","006400",3450,2862,949,0,0,14,7,0,32,4,206,1160,0,69,421,588,208,0,0,33,0,7,20,13,55,190,0,32,30
"36005006500","Census Tract 65","Census Tract 65, Bronx County, New York","00","36","005","006500",4578,3141,918,12,0,8,0,7,0,0,573,1376,0,7,240,1437,137,0,0,11,0,0,6,0,846,355,0,33,49
"36005006700","Census Tract 67","Census Tract 67, Bronx County, New York","00","36","005","006700",9194,8492,3535,39,0,84,17,0,0,14,180,4217,0,97,309,702,105,0,0,137,62,0,0,0,124,214,0,53,7
"36005006800","Census Tract 68","Census Tract 68, Bronx County, New York","00","36","005","006800",2648,2225,540,0,0,10,11,13,0,44,269,804,0,58,476,423,54,6,0,0,10,0,0,26,152,137,0,15,23
