Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,RC1990SF3_RC1990SF3_005_P031_001,RC1990SF3_RC1990SF3_005_P031_002,RC1990SF3_RC1990SF3_005_P031_003,RC1990SF3_RC1990SF3_005_P031_004,RC1990SF3_RC1990SF3_005_P031_005,RC1990SF3_RC1990SF3_005_P031_006,RC1990SF3_RC1990SF3_005_P031_007,RC1990SF3_RC1990SF3_005_P031_008,RC1990SF3_RC1990SF3_005_P031_009,RC1990SF3_RC1990SF3_005_P031_010,RC1990SF3_RC1990SF3_005_P031_011,RC1990SF3_RC1990SF3_005_P031_012,RC1990SF3_RC1990SF3_005_P031_013,RC1990SF3_RC1990SF3_005_P031_014,RC1990SF3_RC1990SF3_005_P031_015,RC1990SF3_RC1990SF3_005_P031_016,RC1990SF3_RC1990SF3_005_P031_017,RC1990SF3_RC1990SF3_005_P031_018,RC1990SF3_RC1990SF3_005_P031_019,RC1990SF3_RC1990SF3_005_P031_020,RC1990SF3_RC1990SF3_005_P031_021,RC1990SF3_RC1990SF3_005_P031_022,RC1990SF3_RC1990SF3_005_P031_023,RC1990SF3_RC1990SF3_005_P031_024,RC1990SF3_RC1990SF3_005_P031_025,RC1990SF3_RC1990SF3_005_P031_026,RC1990SF3_RC1990SF3_005_P031_027
"36005000100","Census Tract 1","Census Tract 1, Bronx County, New York","00","36","005","000100",14302.9999600379,9383.99997378141,14.9999999580905,0,22.9999999357387,0,0,0,86.9999997569248,153.999999569729,0,4498.99998742994,0,0,0,0,74.9999997904524,41.9999998826534,0,9.99999997206032,0,13.9999999608845,0,0,0,0,0
"36005000200","Census Tract 2","Census Tract 2, Bronx County, New York","00","36","005","000200",2792.9999987807,1213.99999947002,0,0,0,0,0,12.9999999943248,5.99999999738066,36.9999999838474,0,1517.99999933731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99999999781721
"36005000400","Census Tract 4","Census Tract 4, Bronx County, New York","00","36","005","000400",1963.80007520184,526.208935455273,0,0,0,0,0,0,20.4258551655466,0,0,1417.16528458102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005001600","Census Tract 16","Census Tract 16, Bronx County, New York","00","36","005","001600",4918.99999498934,1872.9999980921,0,0,0,7.99999999185093,0,0,19.9999999796273,35.9999999633292,0,2898.99999704698,3.99999999592546,7.99999999185093,0,0,5.9999999938882,34.9999999643478,0,6.99999999286956,0,0,0,5.9999999938882,0,0,16.9999999826832
"36005001900","Census Tract 19","Census Tract 19, Bronx County, New York","00","36","005","001900",1378.00002137609,324.000005279231,0,0,0,0,0,0,6.00000006845221,6.00000006845221,48.0000005476177,994.000015412341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005002000","Census Tract 20","Census Tract 20, Bronx County, New York","00","36","005","002000",8311.99978131242,4562.9998799481,0,0,0,0,0,0,11.9999996842816,0,0,3683.99990307447,0,0,0,0,11.9999996842816,0,0,0,0,0,0,0,0,0,40.9999989212956
"36005002300","Census Tract 23","Census Tract 23, Bronx County, New York","00","36","005","002300",4099.00015269965,1963.00007312745,10.000000372529,0,0,0,0,80.0000029802322,0,69.0000025704503,0,1977.00007364899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005002400","Census Tract 24","Census Tract 24, Bronx County, New York","00","36","005","002400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005002500","Census Tract 25","Census Tract 25, Bronx County, New York","00","36","005","002500",5037.00009382144,1481.00002758577,0,0,0,0,0,0,0,0,0,3544.00006601214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0000002235174
"36005002701","Census Tract 27.01","Census Tract 27.01, Bronx County, New York","00","36","005","002701",2704.99987907708,1276.99994291365,0,0,0,0,0,0,0,0,0,1420.99993647635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99999968707561
"36005002702","Census Tract 27.02","Census Tract 27.02, Bronx County, New York","00","36","005","002702",3386.00005045533,908.000013530254,0,0,0,0,0,0,0,0,0,2478.00003692508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005002800","Census Tract 28","Census Tract 28, Bronx County, New York","00","36","005","002800",5596.99992050766,4469.99993651407,0,0,0,0,0,13.9999998011626,0,0,0,1020.99998549907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.9999986933544
"36005003100","Census Tract 31","Census Tract 31, Bronx County, New York","00","36","005","003100",638.000020499341,53.0000017029233,0,0,0,0,0,0,0,0,0,575.000018475112,0,0,0,0,0,0,10.0000003213063,0,0,0,0,0,0,0,0
"36005003300","Census Tract 33","Census Tract 33, Bronx County, New York","00","36","005","003300",2827.99998946488,990.999996308237,4.99999998137355,0,0,0,0,0,8.99999996647239,21.9999999180436,0,1800.99999329075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005003500","Census Tract 35","Census Tract 35, Bronx County, New York","00","36","005","003500",2665,705,12,0,0,0,0,0,8,7,0,1909,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
"36005003700","Census Tract 37","Census Tract 37, Bronx County, New York","00","36","005","003700",78,10,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005003800","Census Tract 38","Census Tract 38, Bronx County, New York","00","36","005","003800",971.000003617257,457.000001702458,0,0,0,0,0,0,0,25.0000000931323,0,489.000001821667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005003900","Census Tract 39","Census Tract 39, Bronx County, New York","00","36","005","003900",4659.9999175407,1041.99998156168,0,0,0,0,0,0,0,18.9999996637926,0,3577.99993668683,20.9999996284023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005004001","Census Tract 40.01","Census Tract 40.01, Bronx County, New York","00","36","005","004001",1327.99999505281,566.99999788776,7.99999997019768,0,0,0,0,0,11.9999999552965,14.9999999441206,0,629.999997653067,29.9999998882413,0,0,0,8.99999996647239,0,0,56.9999997876585,0,0,0,0,0,0,0
"36005004100","Census Tract 41","Census Tract 41, Bronx County, New York","00","36","005","004100",5434.99998987652,1806.9999966342,0,0,0,0,0,0,0,18.9999999646097,0,3608.99999327771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005004200","Census Tract 42","Census Tract 42, Bronx County, New York","00","36","005","004200",6969.68476467405,4008.48102957383,0.144957985263318,0,0,0,0,0,17.9999997171108,0,0,2926.05877766502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9999997328268
"36005004300","Census Tract 43","Census Tract 43, Bronx County, New York","00","36","005","004300",4218,1135,0,0,0,0,0,0,0,0,31,3052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005004400","Census Tract 44","Census Tract 44, Bronx County, New York","00","36","005","004400",4548.00002964959,2441.00001591351,12.0000000782311,0,0,0,0,0,9.00000005867332,8.00000005215406,0,2043.00001331884,7.00000004563481,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0000001825392
"36005004600","Census Tract 46","Census Tract 46, Bronx County, New York","00","36","005","004600",1369.31512400135,706.518906505778,22.8550419826061,0,0,0,0,0,0,0,0,639.941175512969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005004800","Census Tract 48","Census Tract 48, Bronx County, New York","00","36","005","004800",3805.00007796101,755.000015469268,0,0,0,0,0,8.00000016391277,16.0000003278255,0,0,3004.00006154925,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0000003278255,6.00000012293458
"36005005001","Census Tract 50.01","Census Tract 50.01, Bronx County, New York","00","36","005","005001",4118.58007179201,1026.8104044199,5.44245797395706,0,16.3273739218712,0,0,5.89599613845348,0,5.89599613845348,0,2988.36296586692,0,0,0,0,5.89599613845348,0,0,8.61722512543201,0,0,0,0,0,0,55.3316560685635
"36005005002","Census Tract 50.02","Census Tract 50.02, Bronx County, New York","00","36","005","005002",4962.41992820799,1237.1895955801,6.55754202604294,0,19.6726260781288,0,0,7.10400386154652,0,7.10400386154652,0,3600.63703413308,0,0,0,0,7.10400386154652,0,0,10.382774874568,0,0,0,0,0,0,66.6683439314365
"36005005100","Census Tract 51","Census Tract 51, Bronx County, New York","00","36","005","005100",5642.35721070042,2944.17454695984,0,0,0,0,0,0,0,38.9999991481454,0,2650.14082626034,0,0,0,0,0,0,0,0.0213461881017775,0,8.99999980341818,0,0,0,0,0.0204923405777064
"36005005200","Census Tract 52","Census Tract 52, Bronx County, New York","00","36","005","005200",1829.99997273088,787.999988257885,0,0,0,0,0,0,15.9999997615814,0,0,1004.99998502433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9999996870756
"36005005300","Census Tract 53","Census Tract 53, Bronx County, New York","00","36","005","005300",4155.00189926475,2986.56378999352,0,0,0,0,0,0,0,31.9846189022064,0,1001.51837937534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.935110993683
"36005005400","Census Tract 54","Census Tract 54, Bronx County, New York","00","36","005","005400",5013.0000233436,1386.00000645407,8.0000000372529,0,0,0,0,38.0000001769513,14.0000000651926,73.0000003399327,0,3374.00001571141,0,0,0,0,24.0000001117587,0,0,0,0,0,0,0,0,0,96.0000004470348
"36005005600","Census Tract 56","Census Tract 56, Bronx County, New York","00","36","005","005600",2246.00004183501,614.000011436641,0,0,0,0,0,29.0000005401671,0,48.0000008940697,0,1506.00002805144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0000009126961
"36005005902","Census Tract 59.02","Census Tract 59.02, Bronx County, New York","00","36","005","005902",2492,1424,27,9,0,0,0,0,23,9,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"36005006000","Census Tract 60","Census Tract 60, Bronx County, New York","00","36","005","006000",961.999971330166,72.9999978244305,0,0,0,0,0,0,0,8.9999997317791,0,879.999973773956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005006100","Census Tract 61","Census Tract 61, Bronx County, New York","00","36","005","006100",3316.00010239531,2861.00008834529,16.0000004940666,13.0000004014291,0,0,0,0,12.00000037055,26.0000008028583,0,324.000010004849,13.0000004014291,0,0,0,0,0,0,23.0000007102208,0,0,0,0,0,0,28.0000008646166
"36005006200","Census Tract 62","Census Tract 62, Bronx County, New York","00","36","005","006200",6300.00017455313,3578.0000991351,0,0,0,15.0000004156027,0,0,0,61.0000016901176,0,2637.00007306295,9.00000024936162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005006300","Census Tract 63","Census Tract 63, Bronx County, New York","00","36","005","006300",5175.71200928134,2144.90467205711,9.00000000209548,5.00000000116415,0,0,0,31.0000000072177,17.0000000039581,0,0,2585.30939451366,0,0,0,0,10.0000000023283,74.0000017618295,0,173.743847419146,0,0,0,0,14.0000000032596,0,111.754093509565
"36005006400","Census Tract 64","Census Tract 64, Bronx County, New York","00","36","005","006400",3326.99997559923,1401.9999897175,0,0,0,0,0,10.9999999193242,0,97.9999992812518,9.99999992665835,1756.99998711387,0,0,0,0,48.9999996406259,0,0,0,0,0,0,0,0,0,0
"36005006500","Census Tract 65","Census Tract 65, Bronx County, New York","00","36","005","006500",3633.00003293621,1264.00001145923,7.0000000634609,0,0,0,0,0,153.000001387074,33.0000002991728,11.0000000997243,2127.00001928305,0,0,0,0,0,0,0,8.00000007252675,0,0,0,0,0,0,30.0000002719753
"36005006700","Census Tract 67","Census Tract 67, Bronx County, New York","00","36","005","006700",5463.00004070252,2276.00001695752,0,0,0,0,0,0,16.0000001192093,0,0,3171.00002362579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005006800","Census Tract 68","Census Tract 68, Bronx County, New York","00","36","005","006800",2328.00000379421,915.00000149128,0,0,0,0,0,0,0,31.0000000505242,13.0000000211876,1302.00000212202,0,0,0,0,16.000000026077,0,0,21.0000000342261,0,0,0,30.0000000488944,0,0,0
"36005006900","Census Tract 69","Census Tract 69, Bronx County, New York","00","36","005","006900",3861.00006691627,1702.00002949793,0,0,0,0,6.00000010398799,16.0000002773013,0,7.00000012131932,0,2115.00003665577,0,0,0,0,4.00000006932532,0,5.00000008665666,0,0,6.00000010398799,0,0,0,0,0
"36005007000","Census Tract 70","Census Tract 70, Bronx County, New York","00","36","005","007000",3121.00002615992,932.000007811934,0,0,0,0,0,10.000000083819,59.0000004945323,26.0000002179295,0,1988.00001666322,0,0,28.0000002346933,0,0,0,6.00000005029142,48.0000004023314,0,4.00000003352761,0,0,0,0,20.0000001676381
"36005007100","Census Tract 71","Census Tract 71, Bronx County, New York","00","36","005","007100",774.000011893921,111.000001705717,0,0,0,0,0,0,0,0,0,663.000010188203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005007200","Census Tract 72","Census Tract 72, Bronx County, New York","00","36","005","007200",4301.99997395743,1373.99999168236,70.9999995701946,14.999999909196,0,0,9.99999993946403,56.999999654945,46.999999715481,7.99999995157123,0,2381.99998558033,0,0,16.9999998970889,0,4.99999996973202,0,45.9999997215346,258.999998432118,0,0,0,0,0,0,10.9999999334104
"36005007300","Census Tract 73","Census Tract 73, Bronx County, New York","00","36","005","007300",2818.00005650806,908.000018207706,0,0,0,0,0,0,0,13.000000260683,0,1888.00003785919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00000018047285
"36005007400","Census Tract 74","Census Tract 74, Bronx County, New York","00","36","005","007400",3163.99994106591,2029.9999621883,0,0,0,0,0,0,12.9999997578561,32.9999993853271,0,1067.99998010695,0,0,0,0,0,0,0,19.999999627471,0,0,0,0,0,0,0
"36005007500","Census Tract 75","Census Tract 75, Bronx County, New York","00","36","005","007500",2710.99997222703,1261.99998707138,0,0,0,0,0,0,9.99999989755452,22.9999997643754,0,1415.99998549372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005007600","Census Tract 76","Census Tract 76, Bronx County, New York","00","36","005","007600",3944.0000258605,1145.00000708131,0,0,0,0,0,35.0000002118759,10.000000060536,30.0000001816079,20.0000001210719,2643.0000177403,0,0,0,0,0,0,0,55.0000004274771,0,0,0,0,0,0,6.00000003632158
"36005007700","Census Tract 77","Census Tract 77, Bronx County, New York","00","36","005","007700",1088.99996298132,579.999980283901,0,0,0,0,0,0,0,0,0,508.999982697424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005007800","Census Tract 78","Census Tract 78, Bronx County, New York","00","36","005","007800",4885.99998691748,1698.99999545084,33.9999999089632,5.99999998393469,0,0,0,42.9999998848652,90.9999997563427,0,0,2723.99999270635,16.9999999544816,0,0,0,39.9999998928979,0,9.99999997322448,193.999999480555,0,0,0,0,0,27.9999999250285,0
"36005007900","Census Tract 79","Census Tract 79, Bronx County, New York","00","36","005","007900",5336.99994035438,1332.99998510256,0,0,0,0,0,0,0,84.999999050051,0,3918.99995620176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005008300","Census Tract 83","Census Tract 83, Bronx County, New York","00","36","005","008300",4613.00003007334,929.000006056391,8.00000005215406,0,0,0,0,0,0,0,0,3655.00002382789,0,0,0,0,0,4.00000002607703,0,17.0000001108274,0,0,0,0,0,0,0
"36005008400","Census Tract 84","Census Tract 84, Bronx County, New York","00","36","005","008400",1653.99999152776,724.999996286351,0,0,0,0,0,0,0,4.99999997438863,0,872.999995528255,0,0,0,0,4.99999997438863,21.99999988731,0,0,0,0,0,0,0,0,23.9999998770654
"36005008500","Census Tract 85","Census Tract 85, Bronx County, New York","00","36","005","008500",4461.43930693902,1293.25772024621,0,7.99541094433516,0,0,0,0,5.99655820825137,0,0,3135.20051654743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.989100992796
"36005008600","Census Tract 86","Census Tract 86, Bronx County, New York","00","36","005","008600",4069.99998483807,1775.99999338388,19.9999999254942,0,0,0,0,0,10.9999999590218,23.999999910593,0,2211.99999175966,0,0,0,0,0,0,0,19.9999999254942,0,0,0,0,0,0,6.99999997392297
"36005008700","Census Tract 87","Census Tract 87, Bronx County, New York","00","36","005","008700",4336.56060968805,917.742254322045,0,0.00458887731656432,0,0,0,0,0.00344165798742324,0,0,3418.79942624707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108985836268403
"36005008900","Census Tract 89","Census Tract 89, Bronx County, New York","00","36","005","008900",2437.12470968885,419.161497980883,0,0,0,0,0,0,0,0,0,2006.98517247513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9780392328327
"36005009000","Census Tract 90","Census Tract 90, Bronx County, New York","00","36","005","009000",3343.12374339175,1517.33227244045,0,30,0,0,0,0,6.05096868861017,0.78240326262312,0,1770.95809900007,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15
"36005009200","Census Tract 92","Census Tract 92, Bronx County, New York","00","36","005","009200",3982.99996476015,1486.99998684367,121.999998920597,0,0,0,0,103.999999079853,148.999998681713,56.9999994956888,0,1780.99998424249,35.9999996814877,0,0,8.99999992037192,0,0,27.9999997522682,61.999999451451,12.9999998849817,0,0,89.9999992037192,0,44.9999996018596,0
"36005009300","Census Tract 93","Census Tract 93, Bronx County, New York","00","36","005","009300",3849.99993137352,965.999983920192,0,0,0,0,0,0,16.9999996863189,23.9999995571561,0,2842.99994820985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005009600","Census Tract 96","Census Tract 96, Bronx County, New York","00","36","005","009600",1577.00000365078,727.000000959262,5,14,0,0,0,43.0000003259629,104.000000046566,6,12,542.000001424924,5,0,0,0,0,0,0,0,6,0,0,0,0,0,113.00000089407
"36005009800","Census Tract 98","Census Tract 98, Bronx County, New York","00","36","005","009800",4763.99995923671,1785.99998471804,0,0,0,0,0,39.999999657739,66.9999994267127,42.9999996320694,0,2749.99997646955,0,0,0,0,0,0,0,25.9999997775303,0,0,0,0,0,0,51.9999995550606
"36005011000","Census Tract 110","Census Tract 110, Bronx County, New York","00","36","005","011000",46.4062502457746,34.005415107029,0,0,0,0,0,0,2.03451201495045,0.29064457356435,0,10.0756785502308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005011502","Census Tract 115.02","Census Tract 115.02, Bronx County, New York","00","36","005","011502",2711.99998231977,577.999996231869,0,0,0,0,0,0,0,0,0,2133.9999860879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005011700","Census Tract 117","Census Tract 117, Bronx County, New York","00","36","005","011700",1179.00001219101,436.000004615635,11,0,0,0,0,0,0,0,0,732.000007575378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005011800","Census Tract 118","Census Tract 118, Bronx County, New York","00","36","005","011800",4040.95541753019,3355.27156552942,53.1046740759193,0,0,0,122.087791170605,0,247.489073078003,21.0202594999719,8.00000000104774,141.586993967358,0.057401908794418,0,0,7.00000000091677,10.0000000013097,0,5.00000000065484,40.3376582922647,10.0000000013097,6.0000000007858,0,0,0,14.0000000018335,0
"36005011900","Census Tract 119","Census Tract 119, Bronx County, New York","00","36","005","011900",4013.87508493126,1140.83846585669,8.99999998323619,0,0,0,0,0,7.99999998509884,49.9999999068677,0,2806.0146593237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219598756694051
"36005012101","Census Tract 121.01","Census Tract 121.01, Bronx County, New York","00","36","005","012101",1505.99998159125,284.999996516271,0,0,0,0,0,0,0,0,0,1212.99998517276,0,0,0,0,7.99999990221113,0,0,0,0,0,0,0,0,0,0
