Plant_Name,PrimSource,Total_MW,latitude,longitude
Bankhead Dam,hydroelectric,56.00000000000,33.45866500000,-87.35682300000
Barry,natural gas,2172.50000000000,31.00690000000,-88.01030000000
Walter Bouldin Dam,hydroelectric,225.90000000000,32.58388900000,-86.28305600000
Gadsden,natural gas,130.00000000000,34.01280000000,-85.97080000000
Gorgas,coal,1053.70000000000,33.64434400000,-87.19648600000
Copper,natural gas,62.00000000000,31.75690000000,-106.37500000000
Greene County,natural gas,1248.00000000000,32.60170000000,-87.78110000000
H Neely Henry Dam,hydroelectric,70.00000000000,33.78450000000,-86.05240000000
Holt Dam,hydroelectric,45.00000000000,33.25530000000,-87.44950000000
Jordan Dam,hydroelectric,100.00000000000,32.61890000000,-86.25480000000
Logan Martin Dam,hydroelectric,135.00000000000,33.42587800000,-86.33754700000
Lay Dam,hydroelectric,178.80000000000,32.96330000000,-86.51870000000
Martin Dam,hydroelectric,186.00000000000,32.68039400000,-85.91144200000
Mitchell Dam,hydroelectric,165.90000000000,32.80602500000,-86.44489200000
Lewis Smith Dam,hydroelectric,180.00000000000,33.94060000000,-87.10770000000
Thurlow Dam,hydroelectric,78.00000000000,32.53543600000,-85.88761400000
Weiss Dam,hydroelectric,74.10000000000,34.17214200000,-85.75380600000
Yates Dam,hydroelectric,47.00000000000,32.57430000000,-85.89010000000
E C Gaston,natural gas,1868.00000000000,33.24421100000,-86.45805600000
Madelia,natural gas,10.30000000000,44.05010000000,-94.41780000000
Rollins,hydroelectric,12.10000000000,39.13425900000,-120.95334100000
Millers Ferry,hydroelectric,90.00000000000,32.10088100000,-87.39976700000
Browns Ferry,nuclear,3309.40000000000,34.70420000000,-87.11890000000
Colbert,natural gas,363.20000000000,34.74390000000,-87.84860000000
Guntersville,hydroelectric,122.70000000000,34.42127200000,-86.39393100000
Wheeler Dam,hydroelectric,398.20000000000,34.80690000000,-87.38190000000
Dolet Hills,coal,641.00000000000,32.03055600000,-93.56916700000
Gantt,hydroelectric,2.80000000000,31.40330000000,-86.47946900000
J K Smith,natural gas,784.00000000000,37.88330000000,-84.10170000000
Point A,hydroelectric,5.40000000000,31.36114600000,-86.51830700000
Charles R Lowman,coal,556.00000000000,31.48801900000,-87.91074700000
Platte,coal,100.00000000000,40.85476500000,-98.34822200000
Whelan Energy Center,coal,309.00000000000,40.58087200000,-98.31243700000
Annex Creek,hydroelectric,3.60000000000,58.31760000000,-134.10100000000
Gold Creek,petroleum,9.70000000000,58.31070000000,-134.41740000000
Lemon Creek,petroleum,57.50000000000,58.35360000000,-134.49530000000
Salmon Creek 1,hydroelectric,5.20000000000,58.32690000000,-134.46310000000
Skagway,petroleum,4.40000000000,59.45450000000,-135.31310000000
Haines,petroleum,6.20000000000,59.23593100000,-135.44622800000
Swan Lake,hydroelectric,22.60000000000,55.61520800000,-131.35611100000
Terror Lake,hydroelectric,33.60000000000,57.68610000000,-152.89500000000
Venice Hydro,hydroelectric,10.10000000000,34.01135000000,-118.41680000000
Anchorage 1,natural gas,62.40000000000,61.22210000000,-149.86610000000
Eklutna Hydro Project,hydroelectric,44.40000000000,61.47521100000,-149.15009000000
Snettisham,hydroelectric,78.00000000000,58.14150000000,-133.73700000000
Aurora Energy LLC Chena,coal,25.70000000000,64.84774300000,-147.73506300000
Ketchikan,hydroelectric,4.20000000000,55.34464100000,-131.63342500000
S W Bailey,petroleum,23.00000000000,55.35739700000,-131.69696000000
Escalante,coal,247.00000000000,35.41590000000,-108.08200000000
Ashokan,hydroelectric,4.60000000000,41.94900000000,-74.20630000000
Snake River,petroleum,19.00000000000,64.50533100000,-165.42981400000
Petersburg,petroleum,12.60000000000,56.81104000000,-132.95709100000
Seward (AK),petroleum,15.60000000000,60.13092200000,-149.43501000000
Blue Lake Hydro,hydroelectric,15.90000000000,57.05160000000,-135.22970000000
Wrangell,petroleum,8.50000000000,56.46097600000,-132.37943900000
Beluga,natural gas,300.40000000000,61.18610000000,-151.03560000000
Frederickson,natural gas,134.00000000000,47.07972200000,-122.36500000000
South Consolidated,hydroelectric,1.40000000000,33.46647700000,-111.78106400000
J S Eastwood,pumped storage,199.80000000000,37.14792600000,-119.25670000000
Holcomb,coal,358.80000000000,37.93080000000,-100.97250000000
Dillingham,petroleum,6.60000000000,59.04291400000,-158.46859700000
Cholla,coal,767.00000000000,34.93940000000,-110.30330000000
Douglas,petroleum,15.00000000000,31.36412200000,-109.55380000000
Ocotillo,natural gas,320.00000000000,33.42250000000,-111.91220000000
West Phoenix,natural gas,932.00000000000,33.44170000000,-112.15830000000
Saguaro,natural gas,176.00000000000,32.55170000000,-111.30000000000
Yucca,natural gas,328.00000000000,32.72140000000,-114.71060000000
Demoss Petrie,natural gas,85.00000000000,32.25227300000,-110.99214800000
H Wilson Sundt Generating Station,natural gas,470.00000000000,32.16000000000,-110.90470000000
Oklaunion,coal,650.00000000000,34.08250000000,-99.17530000000
Cross,coal,2350.00000000000,33.37150600000,-80.11323500000
Seminole (FL),coal,1309.00000000000,29.73305600000,-81.63277800000
Agua Fria,natural gas,626.20000000000,33.55610000000,-112.21530000000
Crosscut,hydroelectric,3.00000000000,33.43937500000,-111.94605200000
Horse Mesa,pumped storage,149.00000000000,33.59070000000,-111.34400000000
